"insignificant (I)","low-low (L-L)","high-high (H-H)","Metric"
0.953951890034364,0.897959183673469,0.869249394673123,"Sensitivity"
0.884074941451991,0.983940042826552,0.980485232067511,"Specificity"
0.933422999327505,0.929577464788732,0.906565656565657,"Pos Pred Value"
0.918491484184915,0.976101964949549,0.971772085729221,"Neg Pred Value"
0.933422999327505,0.929577464788732,0.906565656565657,"Precision"
0.953951890034364,0.897959183673469,0.869249394673123,"Recall"
0.943575798776343,0.913494809688581,0.887515451174289,"F1"
0.63014291901256,0.19099177132958,0.178865309657861,"Prevalence"
0.601126028583802,0.17150281507146,0.155478562148116,"Detection Rate"
0.644001732351667,0.184495452576873,0.17150281507146,"Detection Prevalence"
0.919013415743178,0.940949613250011,0.924867313370317,"Balanced Accuracy"
