"insignificant (I)","low-low (L-L)","high-high (H-H)","Metric"
0.962340282447882,0.889671361502347,0.866161616161616,"Sensitivity"
0.878345498783455,0.977695167286245,0.992681651855724,"Specificity"
0.934683213585892,0.900237529691212,0.96078431372549,"Pos Pred Value"
0.928020565552699,0.97510593220339,0.972848360655738,"Neg Pred Value"
0.934683213585892,0.900237529691211,0.96078431372549,"Precision"
0.962340282447882,0.889671361502347,0.866161616161616,"Recall"
0.94831013916501,0.894923258559622,0.911022576361222,"F1"
0.644001732351667,0.184495452576873,0.17150281507146,"Prevalence"
0.619748809008229,0.164140320485058,0.148549155478562,"Detection Rate"
0.663057600692941,0.182330012992638,0.154612386314422,"Detection Prevalence"
0.920342890615668,0.933683264394296,0.92942163400867,"Balanced Accuracy"
