"insignificant (I)","low-low (L-L)","low-high (L-H)","high-low (H-L)","high-high (H-H)","Metric"
0.987435750999429,0.975,0.0344827586206897,0,0.949748743718593,"Sensitivity"
0.962365591397849,0.970428782651553,0.999122807017544,1,0.983886255924171,"Specificity"
0.988,0.81981981981982,0.333333333333333,NA,0.847533632286995,"Pos Pred Value"
0.960644007155635,0.996457489878543,0.987857762359063,0.978345604157644,0.995206136145733,"Neg Pred Value"
0.988,0.81981981981982,0.333333333333333,NA,0.847533632286996,"Precision"
0.987435750999429,0.975,0.0344827586206897,0,0.949748743718593,"Recall"
0.987717794915738,0.890701468189233,0.0625,NA,0.895734597156398,"F1"
0.758336942399307,0.121264616717194,0.0125595495885665,0.021654395842356,0.0861844954525769,"Prevalence"
0.74880900822867,0.118233001299264,0.00043308791684712,0,0.0818536162841057,"Detection Rate"
0.75790385448246,0.144218276310091,0.00129926375054136,0,0.0965786054569077,"Detection Prevalence"
0.974900671198639,0.972714391325776,0.516802782819117,0.5,0.966817499821382,"Balanced Accuracy"
