"insignificant (I)","low-low (L-L)","high-high (H-H)","Metric"
0.880952380952381,0,0.6,"Sensitivity"
0.272727272727273,1,0.907407407407407,"Specificity"
0.69811320754717,NA,0.545454545454546,"Pos Pred Value"
0.545454545454545,0.8125,0.924528301886792,"Neg Pred Value"
0.69811320754717,NA,0.545454545454545,"Precision"
0.880952380952381,0,0.6,"Recall"
0.778947368421052,NA,0.571428571428571,"F1"
0.65625,0.1875,0.15625,"Prevalence"
0.578125,0,0.09375,"Detection Rate"
0.828125,0,0.171875,"Detection Prevalence"
0.576839826839827,0.5,0.753703703703704,"Balanced Accuracy"
