"insignificant (I)","low-low (L-L)","high-high (H-H)","Metric"
0.970238095238095,0,0.375,"Sensitivity"
0.170454545454545,1,0.976851851851852,"Specificity"
0.690677966101695,NA,0.75,"Pos Pred Value"
0.75,0.8125,0.894067796610169,"Neg Pred Value"
0.690677966101695,NA,0.75,"Precision"
0.970238095238095,0,0.375,"Recall"
0.806930693069307,NA,0.5,"F1"
0.65625,0.1875,0.15625,"Prevalence"
0.63671875,0,0.05859375,"Detection Rate"
0.921875,0,0.078125,"Detection Prevalence"
0.57034632034632,0.5,0.675925925925926,"Balanced Accuracy"
