"insignificant (I)","low-low (L-L)","high-high (H-H)","Metric"
0.833333333333333,0.416666666666667,0.275,"Sensitivity"
0.352272727272727,0.947115384615385,0.921296296296296,"Specificity"
0.710659898477157,0.645161290322581,0.392857142857143,"Pos Pred Value"
0.525423728813559,0.875555555555556,0.87280701754386,"Neg Pred Value"
0.710659898477157,0.645161290322581,0.392857142857143,"Precision"
0.833333333333333,0.416666666666667,0.275,"Recall"
0.767123287671233,0.506329113924051,0.323529411764706,"F1"
0.65625,0.1875,0.15625,"Prevalence"
0.546875,0.078125,0.04296875,"Detection Rate"
0.76953125,0.12109375,0.109375,"Detection Prevalence"
0.59280303030303,0.681891025641026,0.598148148148148,"Balanced Accuracy"
